
İLİ	TRAFİK KOD NO.	ALT SINIR	 	ÜST SINIR	 	VERGİ DAİRESİ	SAY. KODU (V.D. KODU)
ANKARA	06	A	0001	A	9999	YEĞENBEY V.D.	06266
ANKARA	06	AA	001	AZ	999	YEĞENBEY V.D.	06266
ANKARA	06	AA	0001	AZ	9999	YEĞENBEY V.D.	06266
ANKARA	06	AAA	01	AAF	99	YEĞENBEY V.D.	06266
ANKARA	06	AAG	01	AAG	99	AKYURT M.MD	06125
ANKARA	06	AAH	01	AAZ	99	YEĞENBEY V.D.	06266
ANKARA	06	ABA	01	AFZ	99	YEĞENBEY V.D.	06266
ANKARA	06	AGA	01	AGR	99	AKYURT M.MD	06125
ANKARA	06	AGS	01	AGS	99	YEĞENBEY V.D.	06266
ANKARA	06	AGT	01	AGZ	99	AKYURT M.MD	06125
ANKARA	06	AHA	01	AHZ	99	YEĞENBEY V.D.	06266
ANKARA	06	AIA	01	AIZ	99	AKYURT M.MD	06125
ANKARA	06	AJA	01	ANZ	99	YEĞENBEY V.D.	06266
ANKARA	06	AOA	01	AOZ	99	AKYURT M.MD	06125
ANKARA	06	APA	01	AZZ	99	YEĞENBEY V.D.	06266
ANKARA	06	AAA	001	RZZ	999	YEĞENBEY V.D.	06266
ANKARA	06	TAA	001	ZZZ	999	YEĞENBEY V.D.	06266
ANKARA	06	B	0001	B	9999	YEĞENBEY V.D.	06266
ANKARA	06	BA	001	BZ	999	YEĞENBEY V.D.	06266
ANKARA	06	BA	0001	BZ	9999	YEĞENBEY V.D.	06266
ANKARA	06	BAA	01	BZZ	99	BEYPAZARI V.D.	06209
ANKARA	06	BJK	01	BJK	99	YEĞENBEY V.D.	06266
ANKARA	06	BJL	01	BKZ	99	BEYPAZARI V.D.	06209
ANKARA	06	BLA	01	BLZ	99	BALA M.MD	06103
ANKARA	06	BTA	01	BTA	54	AYAŞ M.MD	06102
ANKARA	06	BTC	01	BTC	99	BEYPAZARI V.D.	06209
ANKARA	06	BTM	01	BTM	99	BEYPAZARI V.D.	06209
ANKARA	06	BRC	01	BRC	99	YEĞENBEY V.D.	06266
ANKARA	06	BSK	01	BSK	99	YEĞENBEY V.D.	06266
ANKARA	06	BTL	01	BTL	99	YEĞENBEY V.D.	06266
ANKARA	06	BTT	01	BTT	99	BEYPAZARI V.D.	06209
ANKARA	06	C	0001	C	9999	YEĞENBEY V.D.	06266
ANKARA	06	CA	001	CZ	999	YEĞENBEY V.D.	06266
ANKARA	06	CAA	01	CGP	99	ÇUBUK V.D.	06211
ANKARA	06	CGR	01	CGR	99	YEĞENBEY V.D.	06266
ANKARA	06	CGS	01	CHN	99	ÇUBUK V.D.	06211
ANKARA	06	CHP	01	CHP	99	YEĞENBEY V.D.	06266
ANKARA	06	CHR	01	CMZ	99	ÇUBUK V.D.	06211
ANKARA	06	CLA	01	CLA	99	YEĞENBEY V.D.	06266
ANKARA	06	CNA	01	CZZ	99	ELMADAĞ V.D.	06215
ANKARA	06	D	0001	D	9999	YEĞENBEY V.D.	06266
ANKARA	06	DA	001	DZ	999	YEĞENBEY V.D.	06266
ANKARA	06	DAA	01	DEN	99	HAYMANA V.D.	06213
ANKARA	06	DER	01	DLR	99	HAYMANA V.D.	06213
ANKARA	06	DLK	01	DLK	100	YEĞENBEY V.D.	06266
ANKARA	06	DLT	01	DMZ	99	HAYMANA V.D.	06213
ANKARA	06	DLS	01	DLS	99	YEĞENBEY V.D.	06266
ANKARA	06	DNA	01	DZZ	99	YEĞENBEY V.D.	06266
ANKARA	06	E	0001	E	9999	YEĞENBEY V.D.	06266
ANKARA	06	EA	001	EZ	999	YEĞENBEY V.D.	06266
ANKARA	06	ET	0001	EZ	9999	YEĞENBEY V.D.	06266
ANKARA	06	EAA	01	EZZ	99	YEĞENBEY V.D.	06266
ANKARA	06	EA	0001	ES	9999	ETİMESGUT	06275
ANKARA	06	ET	0001	EZ	9999	ETİMESGUT	06275
ANKARA	06	F	0001	F	9999	YEĞENBEY V.D.	06266
ANKARA	06	FA	001	FZ	999	YEĞENBEY V.D.	06266
ANKARA	06	FAA	01	FZZ	99	YEĞENBEY V.D.	06266
ANKARA	06	FAG	01	FZG	99	YEĞENBEY V.D.	06266
ANKARA	06	FGA	01	FGZ	99	YEĞENBEY V.D.	06266
