
İLİ	TRAFİK KOD NO.	ALT SINIR	 	ÜST SINIR	 	VERGİ DAİRESİ	SAY. KODU (V.D. KODU)
SAMSUN	55	Özel	176	Özel	200	19 MAYIS M.MD	55100
SAMSUN	55	Özel	201	Özel	225	ZAFER V.D.	55290
SAMSUN	55	Özel	226	Özel	250	LADİK M.MD	55106
SAMSUN	55	Özel	251	Özel	300	KAVAK M.MD	55105
SAMSUN	55	Özel	301	Özel	500	BAFRA V.D.	55202
SAMSUN	55	Özel	576	Özel	600	SALIPAZARI M. MD	55111
SAMSUN	55	Özel	601	Özel	602	HAVZA V.D.	55205
SAMSUN	55	Özel	801	Özel	803	TERME V.D.	55204
SAMSUN	55	A Geçici	8551	A Geçici	9300	19 MAYIS M.MD	55100
SAMSUN	55	A Geçici	9301	A Geçici	9500	ZAFER V.D.	55290
SAMSUN	55	AB	001	AZ	999	ZAFER V.D.	55290
SAMSUN	55	BF	001	BH	999	ZAFER V.D.	55290
SAMSUN	55	C Geçici	3801	C Geçici	4100	ZAFER V.D.	55290
SAMSUN	55	C Geçici	4301	C Geçici	4500	19 MAYIS M.MD	55100
SAMSUN	55	C	0001	C	3500	ZAFER V.D.	55290
SAMSUN	55	C	3501	C	4000	19 MAYIS M.MD	55100
SAMSUN	55	C	4001	C	4500	ZAFER V.D.	55290
SAMSUN	55	C	4501	C	5000	LADİK M.MD	55106
SAMSUN	55	C	5001	C	6000	BAFRA V.D.	55202
SAMSUN	55	C	6601	C	6750	SALIPAZARI M. MD	55111
SAMSUN	55	C	6151	C	6750	ÇARŞAMBA V.D.	55203
SAMSUN	55	C	6751	C	7000	ASARCIK M.MD	55109
SAMSUN	55	C	8501	C	9000	VEZİRKÖPRÜ M.MD	55108
SAMSUN	55	C	9001	C	9500	ALAÇAM M.MD	55101
SAMSUN	55	C	9501	C	9559	KAVAK M.MD	55105
SAMSUN	55	D	0001	D	4000	ZAFER V.D.	55290
SAMSUN	55	D	4001	D	4500	ZAFER V.D.	55290
SAMSUN	55	D	4501	D	5700	BAFRA V.D.	55202
SAMSUN	55	D	5701	D	5900	19 MAYIS M.MD	55100
SAMSUN	55	D	6851	D	7100	SALIPAZARI M. MD	55111
SAMSUN	55	D	7101	D	7400	ÇARŞAMBA V.D.	55203
SAMSUN	55	D	8001	D	8250	LADİK M.MD	55106
SAMSUN	55	D	8401	D	8500	ASARCIK M.MD	55109
SAMSUN	55	DA	001	DZ	999	ZAFER V.D.	55290
SAMSUN	55	EA	001	ES	999	ZAFER V.D.	55290
SAMSUN	55	ET	001	EU	999	BAFRA V.D.	55202
SAMSUN	55	EV	001	EZ	999	ZAFER V.D.	55290
SAMSUN	55	FA	001	FA	999	ÇARŞAMBA V.D.	55203
SAMSUN	55	FB	001	FB	999	ZAFER V.D.	55290
SAMSUN	55	FC	001	FF	999	ÇARŞAMBA V.D.	55203
SAMSUN	55	FH	001	FS	999	BAFRA V.D.	55202
SAMSUN	55	FT	001	FZ	999	VEZİRKÖPRÜ M.MD	55108
SAMSUN	55	GA	001	GK	999	ASARCIK M.MD	55109
SAMSUN	55	GL	001	GZ	999	ÇARŞAMBA V.D.	55203
SAMSUN	55	GS	001	GS	999	ZAFER V.D.	55290
SAMSUN	55	H	0001	H	9999	HAVZA V.D.	55205
SAMSUN	55	HA	001	HE	999	BAFRA V.D.	55202
SAMSUN	55	HF	001	HL	999	ÇARŞAMBA V.D.	55203
SAMSUN	55	HN	001	HR	999	VEZİRKÖPRÜ M.MD	55108
SAMSUN	55	HS	001	HZ	999	HAVZA V.D.	55205
SAMSUN	55	JA	001	JA	999	BAFRA V.D.	55202
SAMSUN	55	FH	001	FS	999	BAFRA V.D.	55202
SAMSUN	55	K	0001	K	3500	ZAFER V.D.	55290
